موضوع,پرسش متداول,پاسخ
تجارت با پاکستان,     دلیل اهمیت پاکستان از لحاظ اقتصادی و تجاری چیست؟,"پاکستان دروازه ورود ایران به کشورهای شرق است. بازار این کشور مکمل بازار ایران است و می‌توانیم به صورت هم‌پوشان، برخی از نیازهای یکدیگر را تامین کنیم. بازار 240 میلیون نفری و اقتصاد واردات محور پاکستان، از دیگر دلایل اهمیت پاکستان هستند. "
تجارت با پاکستان,     مهم‌ترین کالاهایی که بین دو کشور مبادله می‌شود کدامند؟,"از مهم‌ترین کالاهای صادراتی کشورمان می‌توان به فرآورده‌های نفتی، محصولات پتروشیمی، مصالح ساختمانی، محصولات فولادی، صنایع غذایی، ماشین‌آلات، محصولات کشاورزی، میوه و تره‌بار، صنایع پلاستیکی، خشکبار و ... اشاره کرد."
تجارت با پاکستان,     دلایل عدم تجارت پایدار بین ایارن و پاکستان چیست؟,"تجارت بین ایران و پاکستان از دیرباز به شکل پیله‌وری و غیررسمی بوده است و دلیل آن عدم موافقت‌نامه‌های مهم تجاری به ویژه تجارت آزاد از یک سو و از سوی دیگر، وجود مرز طولانی بین دو کشور که راه را برای کم‌اظهاری و قاچاق باز نموده است."
تجارت با پاکستان,     مهم‌ترین ویژگی تجار و فعالین اقتصادی پاکستان چیست؟,"تجار پاکستانی در عرصه تجارت بین‌الملل بسیار فعال هستند و از ظرفیت بالایی برای همکاری برخوردار هستند، در حقیقت ارتباط با پاکستان، صرفاً بازار این کشور نیست و از ظرفیت تجار پاکستانی می‌توان برای ورود به بازار سایر کشورها استفاده کرد. در حال حاضر نیز حجم وسیعی از کالاهای صادراتی کشورمان به دنیا از طریق تجار پاکستانی صورت می‌گیرد."
تجارت با پاکستان,"     مهم‌ترین نکاتی که در تجارت با پاکستان باید مدنظر قرار گیرد، چیست؟","پاکستانی‌ها با گارد باز مذاکره می‌کنند لیکن در عین حال، بسیار سخت وارد مذاکره می‌شوند. جزئیات را مدنظر قرار می‌دهند و چانه‌زنی و گرفتن ارزان‌ترین قیمت، جزئی از ویژگی آن‌هاست."
تجارت با پاکستان,     ویژگی‌های تجار ایالات مختلف پاکستان چیست؟,"کراچی از دیرباز مرکز تجاری پاکستان به شمار می‌رود و از این حیث که هم پایتخت و هم مهم‌ترین بندر پاکستان بوده است، تجار این ایالت به مراتب بیشتر با قواعد بازرگانی و تجاری آشنا هستند و به نوعی بیشتر بین‌المللی تلقی می‌شوند. ایالت پنجاب به مرکزیت لاهور، مرکز کشاورزی پاکستان و غنی‌ترین استان این کشور است. با این وجود احتیاط بیشتری در تجارت لازم است. تجار ایالت بلوچستان به مرکزیت کویته، بیشترین مراودات را با ایران دارند و دروازه ورود کالاهای ایرانی می‌باشد. به واسطه نبود روابط بانکی، تجار این ایالت از قدیم‌الایام بیشتر به صورت غیررسمی و تهاتری با کشورمان همکاری داشته‌اند. با این حال، برخی نیز در کشورمان سرمایه‌گذاری نموده‌اند و در حجم بالا با ایران تجارت می‌کنند."
تجارت با پاکستان,     اهمیت و جایگاه بخش خصوصی در پاکستان چگونه است؟,"در پاکستان، بخش خصوصی از جایگاه بسیار مهمی برخوردار است و اکثر تصمیمات دولت متاثر از نظرات بخش خصوصی است. حضور مقامات در برنامه‌ها و ضیافت‌ها و حتی رزیدانس بخش خصوصی عادی می‌باشد. جامعه تجاری پاکستان دارای بلوغ زیادی است، احزاب مختلف بخش خصوصی هر سال برای مدت یک سال در غالب اتاق‌ها، انجمن‌ها و تشکل‌ها برای متصدی پست‌های بخش خصوصی رقابت می‌کنند. البته از امسال، تصدی دوره ریاست، دو ساله شده است."
تجارت با پاکستان,     مهم‌ترین منابع دسترسی به اطلاعات تجاری در پاکستان:,"• 	سایت‌های وزارت بازرگانی – Ministry of Commerce
• 	سازمان توسعه تجارت – Trade Development Authority of Pakistan
• 	فدراسیون اتاق‌های بازرگانی پاکستان – Federation of Pakistan Chamber of Commerce & Industry
• 	سایت انجمن‌ها و اتحادیه‌ها که اطلاعات تمام اتاق‌ها و تشکل‌ها در سایت فدراسیون اتاق‌های بازرگانی پاکستان (FPCCI) قابل دسترسی است.
• 	کتاب Pakistan Yellow page "
تجارت با پاکستان,     بهترین راه ورود به پاکستان چیست؟,حضور مستقیم و میدانی در بازار و دیدن ویژگی‌های بازار پاکستان. (قبل از سفر به پاکستان پیشنهاد می‌گردد با دفتر رایزنی بازرگانی ارتباط ایجاد شود).
تجارت با پاکستان,        نحوه نقل‌و‌انتقالات مالی در مسیر تجارت با پاکستان چگونه است؟,"از سال 2016 دولت پاکستان هرگونه ارسال کالا از پاکستان یا ورود کالا به این کشور را منوط به ارائه فرم‌های Export Form و Import Form، معروف به فرم‌های (EIF) نموده و لازمه اخذ فرم‌های مذکور، نقل‌و‌انتقال از طریق سیستم بانکی و افتتاح LC می‌باشد. بر اساس رای دادگاه و با توجه به شرایط کشورمان، صادرات و واردات کالا از مسیر زمینی، مبدا و به مقصد ایران استثنا شده است و نقل‌و‌انتقال از طریق صرافی نیز قابل انجام است. در مورد مسیر دریایی، اسناد تجاری و گواهی مبدا ایران باید عوض شود و از طریق کشور ثالث انجام شود."
تجارت با پاکستان,        تهدیدها و فرصت‌های بازار پاکستان نقاط قوت,"• 	همسایگی و دارا بودن مرز زمینی، دریایی و دسترسی راحت به بازار پاکستان
• 	تنوع بالای صادراتی کشورمان
• 	برتزی تکنولوژیکی نسبت به پاکستان"
تجارت با پاکستان,        تهدیدها و فرصت‌های بازار پاکستان نقاط ضعف,"• 	صادرات با ارزش افزوده پایین
• 	عدم توجه به برندینگ علیرغم جایگاه ویژه برندینگ در بازار پاکستان
• 	عدم حضور مستقیم و ارسال کالا توسط تجار غالباً بی نام و نشان
• 	اصرار بر صادرات صرف به جای تمرکز بر .....، استفاده از ظرفیت پاکستان برای ورود به سایر بازارهای جهانی
• 	عدم وجود موافقت‌نامه‌های مهم تجاری با پاکستان به ویژه موافقت‌نامه تجارت آزاد"
تجارت با پاکستان,        تهدیدها و فرصت‌های بازار پاکستان تهدیدها,"• 	حضور رقبای قوی در بازار پاکستان از جمله چین
• 	علاقمندی و انجام سرمایه‌گذاری توسط برخی همسایگان از جمله امارات، ترکیه، عربستان در بازار پاکستان
• 	تشدید تحریم‌ها "
تجارت با پاکستان, تهدیدها و فرصت‌های بازار پاکستان فرصت ها,"• 	واردات محور بودن پاکستان
• 	کمبود ذخایر ارزی و امکان انجام فعالیت‌های تجاری از طریق پاکستان به مراتب سهل‌تر است."
تجارت با پاکستان,پیشنهادات,"• 	استفاده از ظرفیت تجار پاکستانی برای ورود به بازار جهانی
• 	تولید مشترک با پاکستانی‌ها به صورت سرمایه‌گذاری مشترک 
• 	انجام فعالیت اقتصادی از طریق اخذ اطلاعات از دفاتر رایزنی بازرگانی یا نمایندگی‌های کشورمان"
 تجارت با کشورهای حوزهGCC ,چگونه می‌توان به بازارهای GCC وارد شد؟," برای ورود به بازارهای GCC، ابتدا باید تحقیقات جامعی درباره قوانین و مقررات تجاری هر کشور عضو (مانند عربستان سعودی، امارات، قطر، کویت، بحرین و عمان) انجام دهید. توصیه می‌شود از خدمات مشاوره‌ای اتاق‌های بازرگانی، شرکت‌های صادراتی و نمایشگاه‌های تخصصی استفاده کنید. ایجاد شبکه‌های تجاری قوی با مشارکت در رویدادهای بین‌المللی نیز ضروری است."
 تجارت با کشورهای حوزهGCC , مهم‌ترین چالش‌های تجارت با کشورهای GCC چیست؟," چالش‌ها شامل تفاوت‌های فرهنگی و زبانی، الزامات گمرکی خاص هر کشور، و تغییرات سریع قوانین است. برای کاهش این ریسک‌ها، باید با مشاوران تجاری معتبر و محلی همکاری کنید و شناخت کافی از بازار هدف داشته باشید."
 تجارت با کشورهای حوزهGCC , برای شروع همکاری با کشورهای GCC چه مدارکی لازم است؟," مدارک ضروری شامل گواهی مبدأ، گواهی‌های استاندارد محصول (مانند گواهی بهداشت و ایمنی) ، مجوزهای تجاری بین‌المللی و مستندات بانکی معتبر است. همچنین، ممکن است نیاز به ترجمه رسمی مدارک به زبان عربی یا انگلیسی داشته باشید."
 تجارت با کشورهای حوزهGCC , الزامات گمرکی کشورهای GCC چیست؟," الزامات گمرکی در کشورهای GCC بسته به نوع کالا متفاوت است. لازم است پیش از صادرات، تمامی تعرفه‌ها، ممنوعیت‌های وارداتی و استانداردهای کیفی را بررسی کنید. همکاری با شرکت‌های لجستیکی که تجربه کار در این کشورها را دارند، می‌تواند مفید باشد."
 تجارت با کشورهای حوزهGCC ,آیا تفاوتی در استانداردهای محصولات برای کشورهای GCC وجود دارد؟," بله، کشورهای GCC معمولاً از استانداردهای منطقه‌ای هماهنگ (مانند GSO) استفاده می‌کنند، اما هر کشور ممکن است الزامات خاص خود را داشته باشد."
 تجارت با کشورهای حوزهGCC ,برای صادرات به کشورهای GCC چه مجوزهایی لازم است؟," بسته به نوع کالا، ممکن است نیاز به گواهی‌های بهداشتی، گواهی حلال، یا مجوزهای خاص صادراتی داشته باشید. همچنین، ثبت برند یا محصول در کشور مقصد ممکن است الزامی باشد."
